time_s,reference_loading,predicted_loading
615.5608741019447,0.0840694410039848,0.07413445703123502
654.6766636768047,0.0865066982596872,0.07681611424188461
696.2780644372309,0.0890164900247001,0.07956737501390183
740.5230244403368,0.0916050275673066,0.08239102220908809
787.5795285458105,0.0942786572030781,0.08528999565606873
837.6262362041068,0.0970438805287638,0.0882673585377346
890.8531597728643,0.0999072901821125,0.0913263019575509
947.4623859369098,0.1028755393211042,0.09447012380758275
1007.6688429708654,0.1059553475363569,0.09770219463745794
1071.7011167574271,0.109153529587853,0.10102594052558436
1139.8023186594885,0.1124770666179525,0.10444484622995427
1212.2310085411627,0.1159331060988506,0.1079624778961294
1289.2621764421351,0.1195289331460495,0.11158246672968816
1371.1882866324731,0.1232720065154989,0.11530849639182401
1458.32038801185,0.1271700286434308,0.11914430714100233
1550.9892950690466,0.1312309880891439,0.12309371899312258
1649.5468438854675,0.1354631524779323,0.12716064863874255
1754.367227951357,0.139875058735347,0.13134910061477176
1865.8484188663772,0.1444755587476287,0.13566315953750369
1984.4136773185828,0.149273832112583,0.14010701639792753
2110.513160078451,0.1542793873711812,0.14468498185974676
2244.625629109304,0.1595020496983066,0.1494014794212115
2387.2602692830656,0.1649519562734026,0.15426105182021876
2538.958621602701,0.17063955502537,0.15926836624741592
2700.2966392711865,0.1765755819587619,0.16442822901260234
2871.8868744132933,0.1827710439263899,0.1697455854234973
3054.38080375252,0.1892371828976881,0.17522552298190505
3248.471302073062,0.1959854479660639,0.1808732767616191
3454.895272857822,0.2030274626902198,0.1866942400130573
3674.4364460901934,0.210374987765126,0.19269396966875563
3907.928353842045,0.2180398737145671,0.19887818381797684
4156.257494945316,0.2260340276785069,0.20525277393560748
4420.366700762531,0.2343693864578179,0.21182381389130675
4701.258714835066,0.2430578792083183,0.2185975587392019
5000.0,0.2521114080676108,0.2255804532764821
