pore_id,x_m,y_m,z_m,volume_m3,inscribed_radius_m,component,inlet,outlet,wall,sobol_void_samples
126,0.0002990606779503411,0.006268352926033746,0.03521088551212394,9.247906683969111e-10,0.0004074043309012671,0,0,0,0,136
127,0.00021324390083247977,0.006241634749986205,0.0350876827462764,5.047392292715742e-10,0.00038444324891944413,0,0,0,0,74
128,0.0003317707463164334,0.005495068175717863,0.034399461059693326,2.5406337043871185e-10,0.00018948544864000924,0,0,0,0,37
129,0.0036505594439905052,0.006238021528406508,0.03541598542783829,7.486400648927376e-10,0.0015125783895475935,0,0,0,0,110
130,0.004908833108478609,-0.002835062404893382,0.034160961985460696,1.019640993360697e-09,0.0004913678809745319,0,0,0,0,150
131,0.006299041328570923,0.0009860804073675332,0.03503074016682516,3.052147956870392e-09,0.000760812535187704,0,0,0,0,450
132,0.0052131141689640455,0.00038223027346946615,0.03463478513407361,8.502654130682224e-10,0.0003949130051606515,0,0,0,0,125
133,0.006311831970574668,0.0010336667030295774,0.035014700235125255,5.030454734686494e-09,0.000756449883080254,0,0,0,0,742
134,0.006567965118573869,0.0013105417180188737,0.03356826787251253,1.8394188019762737e-09,0.00023804767330351583,0,0,0,0,271
135,0.006502870037860869,0.0006361235700206252,0.03293046466291045,4.979642060598752e-10,0.0003350809868286922,0,0,0,0,73
136,-0.003337009198470103,-0.005141894996525425,0.012663299185252764,2.8793848649720675e-10,0.0005011528560838581,0,0,0,0,42
137,0.0047135377055143035,-0.0012485116703880499,0.02300963714405677,1.2533792941643117e-10,0.00043129816994199514,0,0,0,0,18
138,0.002916310045464154,-0.005486895623039027,0.02449257367279863,1.5243802226322712e-10,0.0001957787267896524,0,0,0,0,22
139,0.004013202077252275,0.0019281623620298414,3.77425348078937e-07,3.285886257674006e-10,0.0008065346749921888,0,0,0,0,48
140,0.003865365464080723,0.0022508882374592826,0.00014796933203796144,1.1415914111712785e-09,0.0006899162988601607,0,0,0,0,168
141,-0.0044156501401702245,0.004498880797872486,0.0007750975369157434,1.8326437787645746e-09,0.0004292010788948616,0,0,0,0,270
142,-0.004371140324189082,0.004269728692236901,0.0006191349493117078,8.638154594916202e-10,0.0005014182129152133,0,0,0,0,127
143,-0.005196467334673954,0.004567622184048723,0.0019566261497079014,1.4125923396392379e-09,0.00044432704912462375,0,0,0,0,208
144,-0.005207581199674859,0.003700807851431971,0.0016320397504269069,3.556887186141966e-10,0.0004146656011224228,0,0,0,0,52
145,-0.0058169224704203645,0.0036347557042227295,0.001714488062523843,1.3787172235807429e-09,0.00045082785082573224,0,0,0,0,203
146,-0.005550124673908673,0.003468024422746866,0.001406073025447691,9.38340714820309e-10,0.00037512335120241946,0,0,0,0,138
147,-0.005371196220074276,0.003589589255364773,0.00161896144021357,1.1178788299303322e-10,0.0004333718105086903,0,0,0,0,16
148,-0.004512373219154286,0.0029330455358277784,0.001998671994889716,3.014885329206047e-10,0.00041017420506892193,0,0,0,0,44
149,-0.004741104578587577,0.0026088422040579625,0.002777701877269088,2.9471350970890577e-10,0.0004206605805916053,0,0,0,0,43
150,-0.00405308619243112,0.0040400065041974785,0.0006684877664421315,9.58665784455406e-10,0.00039738653015910315,0,0,0,0,141
151,-0.0038061022631343863,0.00287343590677556,0.0016694146428450868,3.4213867219079865e-10,0.0004221171228847015,0,0,0,0,50
152,-0.003665494884794342,0.002208871527165886,0.0009873338135562265,1.0399660629957937e-09,0.0004867105027321928,0,0,0,0,153
153,0.004272115530654542,0.0017773041838397045,0.0001848474682373454,1.2025666200765696e-09,0.0006615750936956073,0,0,0,0,177
154,0.006452407987993177,0.00094437080485518,0.0012822196660642827,2.157844892926126e-09,0.0003285074437352709,0,1,0,1,318
155,0.006102333311349401,0.00030564902728174404,0.0016325125894588474,3.014885329206047e-10,0.000576035016303976,0,0,0,0,44
156,-0.0014280313303380444,-0.005345350553584164,0.0027800274399095008,1.8631313832172201e-10,0.00031920042566237347,0,0,0,0,27
